
HepMC::Version 2.06.10
HepMC::IO_GenEvent-START_EVENT_LISTING
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 2 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 3.5527136788005009e-15 -1.7763568394002489e-15 4.5565360008781752e+01 4.5599990373269684e+01 1.7768200000000001e+00 2 0 0 -10 0
V -10 0 2.2310804579639467e-16 -1.1155402289819724e-16 2.8614741706404057e+00 2.8636489343969740e+00 0 3 0
P 10005 16 -3.5152965898224409e-01 6.0707870870832792e-02 3.4480895871454308e+01 3.4482742621379970e+01 1.0003762319684029e-02 1 0 0 0 0
P 10006 11 9.2452966692738281e-02 -3.4981042146682706e-01 2.7425781740292501e+00 2.7663423737976474e+00 4.8059129039756954e-04 1 0 0 0 0
P 10007 -12 2.5907671464125004e-01 2.8910252451896773e-01 8.3464991420206598e+00 8.3555220640624395e+00 1.4950499462429434e-04 1 0 0 0 0
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 2 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 -8.8817841970012523e-16 -4.4408920985006498e-16 4.5546576966027509e+01 4.5581221600947345e+01 1.7768200000000001e+00 2 0 0 -10 0
V -10 0 -6.1621222938584580e-17 -3.0810611469292450e-17 3.1599909557142629e+00 3.1623945772442048e+00 0 3 0
P 10006 16 3.4016676732199591e-01 5.8605264872314954e-02 1.9832525479648961e+01 1.9835531626507876e+01 1.0000037960708141e-02 1 0 0 0 0
P 10007 13 7.5535592072543400e-02 -5.1650071144103926e-01 6.5314511206311936e+00 6.5531287339519420e+00 1.0565931349992752e-01 1 0 0 0 0
P 10008 -14 -4.1570236684489131e-01 4.5789551734924550e-01 1.9187213553554187e+01 1.9197177936696988e+01 1.7263348854612559e-04 1 0 0 0 0
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 2 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 1.7763568394002505e-15 1.5777218104420236e-30 4.5565368256834681e+01 4.5599998615058745e+01 1.7768200000000001e+00 2 0 0 -10 0
V -10 0 1.9317381559797885e-16 1.7157281426525625e-31 4.9551057817142219e+00 4.9588717358768584e+00 0 2 0
P 10005 16 -1.8852907460374091e-01 8.6128550767898826e-01 2.1409935540312301e+01 2.1428084271646650e+01 9.9889030680060387e-03 1 0 0 0 0
P 10006 -211 1.8852907460374002e-01 -8.6128550767898260e-01 2.4160048953700485e+01 2.4176534088999166e+01 1.3956795632839203e-01 1 0 0 0 0
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 2 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 7.1054273576010019e-15 7.1054273576010003e-15 4.5554202194808454e+01 4.5588841035037255e+01 1.7768200000000001e+00 2 0 0 -9 0
V -9 0 8.5441649886359827e-16 8.5441649886359807e-16 5.4778213876433135e+00 5.4819866538691837e+00 0 3 0
P 10004 16 -3.1132145341213047e-01 -3.3816182613372564e-01 2.0059640972515624e+01 2.0064908930907048e+01 9.9997119978070259e-03 1 0 0 0 0
P 10005 11 5.1750085576593818e-01 5.6127500534057906e-01 2.2719448870304539e+01 2.2732272080937985e+01 4.5674529974348843e-04 1 0 0 0 0
P 10006 -12 -2.0617943215612433e-01 -2.2311317920684784e-01 2.7797259297512671e+00 2.7962771090614802e+00 -1.2207031250000000e-04 1 0 0 0 0
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 2 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 -3.5527136788005009e-15 7.8886090522101181e-31 4.5561970146677560e+01 4.5596603085746843e+01 1.7768200000000001e+00 2 0 0 -9 0
V -9 0 -4.8126188064007021e-16 1.0686160415220196e-31 6.1719692102685988e+00 6.1766606982114727e+00 0 3 0
P 10003 16 5.9363760687101141e-01 3.9224296808242998e-01 1.5515268863038033e+01 1.5531578415629394e+01 1.0000829584896564e-02 1 0 0 0 0
P 10004 13 -5.7388508875246735e-01 5.9355244040491431e-02 1.9094388521299777e+01 1.9103395089793732e+01 1.0565894842147827e-01 1 0 0 0 0
P 10005 -14 -1.9752592624349141e-02 -4.5159822702407704e-01 1.0956927079044728e+01 1.0966247404573677e+01 0 1 0 0 0 0
E 0 -1 -1.0000000000000000e+00 -1.0000000000000000e+00 -1.0000000000000000e+00 0 0 3 0 0 0 0
U GEV MM
V -7 0 0 0 0 0 0 1 0
P 11 15 1.0658141036401503e-14 0 4.5323574842598326e+01 4.5358389806352399e+01 1.7768200000000001e+00 2 0 0 -10 0
V -10 0 3.7465122836196918e-17 0 1.5931983758274815e-01 1.5944221791991289e-01 0 2 0
P 10005 16 4.8528805208443249e-01 -1.9191449880599842e-01 1.0272263026141021e+01 1.0285515222871464e+01 1.0003064759075642e-02 1 0 0 0 0
P 10006 -20213 -4.8528805208442272e-01 1.9191449880600397e-01 3.5055902037076123e+01 3.5077468330043260e+01 1.1136342287063599e+00 2 0 0 -11 0
V -11 0 3.7465122836196918e-17 0 1.5931983758274815e-01 1.5944221791991289e-01 0 3 0
P 10007 111 1.7059788064233583e-01 3.2338209450246361e-02 1.1642304154403700e+01 1.1644381079331236e+01 1.3496407866477966e-01 1 0 0 0 0
